"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"3012","3060162031","1104133770813280268",2019-03-08 21:36:19,"LorettasMom23","So we had a patient come in a little over a week ago and was diagnosed with Flu A. Well they came back this week and have Flu B. I went in the exam room to give them their work note and said “Well the good news is there isn’t a Flu C”.

They didn’t laugh😅😂","Twitter for iPhone",-96.4341524,33.0276193,"100 Main St, Lavon, TX 75166, USA","Texas"
"3013","2722646211","1104133604232318979",2019-03-08 21:35:39,"DocLauraLawler","Flu vaccine early in the season is the best protection. But flu vaccine late in the season is still better than no vaccine at all. If you or your loved ones aren’t vaccinated, make plans to do so today! #FightFlu

CDC flu report-8 more children have died. https://t.co/5hVAyv4o7B","Twitter Web App",-75.5276699,38.9108325,"4362 Gun and Rod Club Rd, Houston, DE 19954, USA","Delaware"
"3014","6817432","1104133501052428293",2019-03-08 21:35:15,"fox4kc","Flu season may not have peaked, and there’s another wave of severe infections underway, CDC says https://t.co/bCXvXdWK5y https://t.co/V4AvzLbjk8","trueAnthem",-94.5785667,39.0997265,"1200 Oak St, Kansas City, MO 64106, USA","Missouri"
"3015","60963967","1103892959349563393",2019-03-08 05:39:25,"HelloImSandraa","I took a nighttime cold/flu medication and it said it would knock my ass out.. It's been like 2 hours :) I can't breath or sleep. Que mierda.","Twitter for Android",-80.1917902,25.7616798,"1213 Brickell Ave, Miami, FL 33131, USA","Florida"
"3016","60963967","1104133338149863426",2019-03-08 21:34:36,"HelloImSandraa","The flu is going around here at the school I work at which means the cold I've had for like 2 days now is most likely the flu and my ass is gonna end up in an urgent care at some point this weekend :)","Twitter for Android",-80.1917902,25.7616798,"1213 Brickell Ave, Miami, FL 33131, USA","Florida"
"3017","16334139","1104133317077712896",2019-03-08 21:34:31,"wbz","CDC: Flu Season May Not Have Peaked, Another Wave Of Severe Infections Underway https://t.co/nL0y4JBKev","WordPress.com",-71.0588801,42.3600825,"1 Cambridge St, Boston, MA 02114, USA","Massachusetts"
"3018","1040819540261851142","1104133247787827200",2019-03-08 21:34:14,"DBrown4L","@thereshegotee_ Flu game","Twitter for iPhone",-91.9623327,30.9842977,"1025 LA-1181, Plaucheville, LA 71362, USA","Louisiana"
"3019","336041336","1104133137876033537",2019-03-08 21:33:48,"MMNewzz","Flu season has peaked, but nasty strain is on rise: report https://t.co/8tSGjSvRdB #news https://t.co/An4XBbfB6A","Twibble.io",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"3020","75032875","1104133123703373824",2019-03-08 21:33:45,"mmhmmawkward","finally can eat after 3 days of the flu and can really go for a cheesy blaster","Twitter Web Client",-104.990251,39.7392358,"1437 Bannock St, Denver, CO 80202, USA","Colorado"
"3021","317755534","1104133097459720193",2019-03-08 21:33:38,"gmahrer","@theREALbrianrad @MilanosTweets This is up there with the flu game","Twitter for iPhone",-86.158068,39.768403,"Intl Airport - Zone 1 Ground Transportation Center, Indianapolis, IN 46204, USA","Indiana"
